id,user,created_at,text,fav,RT,follower,follows,user_id,check
1270745200470548480,saburota4,2020-06-10 15:50:39,"新型コロナウイルスでフェイク拡散：それは""ビル・ゲイツの陰謀""ではない(平和博) - Y!ニュース https://t.co/ByALkYyArs",1,0,14,82,1197429681227620354,
1270745133454000128,AvoidanceCrisis,2020-06-10 15:50:23,無症状感染者からの感染は極めて稀、ということは散々喧伝されてきたコロナ関連のニュース等はデマ又はフェイクということになるのではないか。それに踊らされて外出自粛、ソーシャルディスタンス、マスク着用など、壮大な茶番に付き合ってきた事になろうかと思う。何が真実なのか透けて見える。,2,1,302,1229,1248828089812959233,
1270744142805524480,Reico62496638,2020-06-10 15:46:27,今、ここでコロナがフェイクだという見解と、山本太郎は体制側が用意したハーメルンの笛吹きだよ、なんて言ったら死刑かな？ いい加減もう気づいて欲しいのだが…,0,0,32,53,1138361720076873729,
1270744084890611712,ursusmaritimuss,2020-06-10 15:46:13,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,348,620,714666104136867840,
1270741401391607810,lavieenrose219,2020-06-10 15:35:33,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,592,2294,700599432643915776,
1270738745684197376,mikako_hoshi,2020-06-10 15:25:00,@dancingfarmer コロナはフェイクだって真顔で言われちゃうと言葉失いますよね。トランプを陥れるためのデモクラッツの作戦だって。でそれで世界中も大騒ぎしてるの多分知らない😅コロナ落ち着いたら青い人探しをしてみようかなと思ってます。,1,0,410,368,46840599,
1270736982285578240,puppys4yyst,2020-06-10 15:18:00,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,348,457,570007092,
1270732163118317570,tenpu1,2020-06-10 14:58:51,RT @nobuogohara: 拙著、本日発売。「PJ機で到着直後のゴーン会長衝撃の逮捕」の”フェイク映像”（朝日）から始まり、突然のレバノン不正出国に至るまで、誤った報道で、事件は根本的に誤解された。その「歪んだ報道の構図」は、政府のコロナ感染拡大対策、倒産危機に直面する日…,0,316,1622,1406,91559835,
1270730293100478466,harunosumire24,2020-06-10 14:51:25,新型コロナがフェイク？ってどういう意味だろうと思ってたけど、そうか…こういうことか… やはりワクチン… 絶望が渦巻く😔長文だけれど、これは必読です。https://t.co/ft0bPXu13p,0,0,165,318,3053088068,
1270727060395188231,kiichi08,2020-06-10 14:38:34,RT @shiroi_suna_: 果たして新型コロナvirusはフェイクだったのか､ or 未知の人工virusが播かれたのか？大橋先生の言われる如く、このvirusの存在は確認されていない。しかし、２月から内閣や官僚達にアビガンが供給されていたことを考えると、何らかの (…,0,15,869,1643,440022093,
1270723106307362822,Niko06107826,2020-06-10 14:22:52,日本人の皆様、目を覚ましましょう‼️コロナはフェイクです‼️#コロナフェイク#マスクを外そう #マスメディアはフェイク https://t.co/QvObXth1bF,3,0,4,23,1250804398499917824,
1270720872584642564,EuDEYhDo2ebUwod,2020-06-10 14:13:59,RT @HE0x1teK4CrnkKo: 近い将来全ての店がこうなります。コロナの裏で5/27に可決したスーパーシティ法案、超監視社会の序章、人と人を分断する為のフェイク騒動です。#ソーシャルディスタンスは社会実験https://t.co/W9mb56Fkgq,0,9,1451,1808,919234185973219328,
1270720413220274176,ursusmaritimuss,2020-06-10 14:12:10,RT @hanakopower: コロナはフェイクの証明写真。,0,3,348,620,714666104136867840,
